layer_name,layer_type,param_count,output_shape
frontend,Sequential,55488,
frontend.0,Conv2dNormActivation,928,
frontend.0.0,Conv2d,864,"(1, 32, 256, 256)"
frontend.0.1,BatchNorm2d,64,"(1, 32, 256, 256)"
frontend.0.2,ReLU6,0,"(1, 32, 256, 256)"
frontend.1,InvertedResidual,896,
frontend.1.conv,Sequential,896,
frontend.1.conv.0,Conv2dNormActivation,352,
frontend.1.conv.0.0,Conv2d,288,"(1, 32, 256, 256)"
frontend.1.conv.0.1,BatchNorm2d,64,"(1, 32, 256, 256)"
frontend.1.conv.0.2,ReLU6,0,"(1, 32, 256, 256)"
frontend.1.conv.1,Conv2d,512,"(1, 16, 256, 256)"
frontend.1.conv.2,BatchNorm2d,32,"(1, 16, 256, 256)"
frontend.2,InvertedResidual,5136,
frontend.2.conv,Sequential,5136,
frontend.2.conv.0,Conv2dNormActivation,1728,
frontend.2.conv.0.0,Conv2d,1536,"(1, 96, 256, 256)"
frontend.2.conv.0.1,BatchNorm2d,192,"(1, 96, 256, 256)"
frontend.2.conv.0.2,ReLU6,0,"(1, 96, 256, 256)"
frontend.2.conv.1,Conv2dNormActivation,1056,
frontend.2.conv.1.0,Conv2d,864,"(1, 96, 128, 128)"
frontend.2.conv.1.1,BatchNorm2d,192,"(1, 96, 128, 128)"
frontend.2.conv.1.2,ReLU6,0,"(1, 96, 128, 128)"
frontend.2.conv.2,Conv2d,2304,"(1, 24, 128, 128)"
frontend.2.conv.3,BatchNorm2d,48,"(1, 24, 128, 128)"
frontend.3,InvertedResidual,8832,
frontend.3.conv,Sequential,8832,
frontend.3.conv.0,Conv2dNormActivation,3744,
frontend.3.conv.0.0,Conv2d,3456,"(1, 144, 128, 128)"
frontend.3.conv.0.1,BatchNorm2d,288,"(1, 144, 128, 128)"
frontend.3.conv.0.2,ReLU6,0,"(1, 144, 128, 128)"
frontend.3.conv.1,Conv2dNormActivation,1584,
frontend.3.conv.1.0,Conv2d,1296,"(1, 144, 128, 128)"
frontend.3.conv.1.1,BatchNorm2d,288,"(1, 144, 128, 128)"
frontend.3.conv.1.2,ReLU6,0,"(1, 144, 128, 128)"
frontend.3.conv.2,Conv2d,3456,"(1, 24, 128, 128)"
frontend.3.conv.3,BatchNorm2d,48,"(1, 24, 128, 128)"
frontend.4,InvertedResidual,10000,
frontend.4.conv,Sequential,10000,
frontend.4.conv.0,Conv2dNormActivation,3744,
frontend.4.conv.0.0,Conv2d,3456,"(1, 144, 128, 128)"
frontend.4.conv.0.1,BatchNorm2d,288,"(1, 144, 128, 128)"
frontend.4.conv.0.2,ReLU6,0,"(1, 144, 128, 128)"
frontend.4.conv.1,Conv2dNormActivation,1584,
frontend.4.conv.1.0,Conv2d,1296,"(1, 144, 64, 64)"
frontend.4.conv.1.1,BatchNorm2d,288,"(1, 144, 64, 64)"
frontend.4.conv.1.2,ReLU6,0,"(1, 144, 64, 64)"
frontend.4.conv.2,Conv2d,4608,"(1, 32, 64, 64)"
frontend.4.conv.3,BatchNorm2d,64,"(1, 32, 64, 64)"
frontend.5,InvertedResidual,14848,
frontend.5.conv,Sequential,14848,
frontend.5.conv.0,Conv2dNormActivation,6528,
frontend.5.conv.0.0,Conv2d,6144,"(1, 192, 64, 64)"
frontend.5.conv.0.1,BatchNorm2d,384,"(1, 192, 64, 64)"
frontend.5.conv.0.2,ReLU6,0,"(1, 192, 64, 64)"
frontend.5.conv.1,Conv2dNormActivation,2112,
frontend.5.conv.1.0,Conv2d,1728,"(1, 192, 64, 64)"
frontend.5.conv.1.1,BatchNorm2d,384,"(1, 192, 64, 64)"
frontend.5.conv.1.2,ReLU6,0,"(1, 192, 64, 64)"
frontend.5.conv.2,Conv2d,6144,"(1, 32, 64, 64)"
frontend.5.conv.3,BatchNorm2d,64,"(1, 32, 64, 64)"
frontend.6,InvertedResidual,14848,
frontend.6.conv,Sequential,14848,
frontend.6.conv.0,Conv2dNormActivation,6528,
frontend.6.conv.0.0,Conv2d,6144,"(1, 192, 64, 64)"
frontend.6.conv.0.1,BatchNorm2d,384,"(1, 192, 64, 64)"
frontend.6.conv.0.2,ReLU6,0,"(1, 192, 64, 64)"
frontend.6.conv.1,Conv2dNormActivation,2112,
frontend.6.conv.1.0,Conv2d,1728,"(1, 192, 64, 64)"
frontend.6.conv.1.1,BatchNorm2d,384,"(1, 192, 64, 64)"
frontend.6.conv.1.2,ReLU6,0,"(1, 192, 64, 64)"
frontend.6.conv.2,Conv2d,6144,"(1, 32, 64, 64)"
frontend.6.conv.3,BatchNorm2d,64,"(1, 32, 64, 64)"
backend,Sequential,6416320,
backend.0,Conv2d,147968,"(1, 512, 64, 64)"
backend.1,ReLU,0,"(1, 512, 64, 64)"
backend.2,Conv2d,2359808,"(1, 512, 64, 64)"
backend.3,ReLU,0,"(1, 512, 64, 64)"
backend.4,Conv2d,2359808,"(1, 512, 64, 64)"
backend.5,ReLU,0,"(1, 512, 64, 64)"
backend.6,Conv2d,1179904,"(1, 256, 64, 64)"
backend.7,ReLU,0,"(1, 256, 64, 64)"
backend.8,Conv2d,295040,"(1, 128, 64, 64)"
backend.9,ReLU,0,"(1, 128, 64, 64)"
backend.10,Conv2d,73792,"(1, 64, 64, 64)"
backend.11,ReLU,0,"(1, 64, 64, 64)"
output_layer,Conv2d,65,"(1, 1, 64, 64)"
